;date;1. open;2. high;3. low;4. close;5. volume
0;2020-05-22;119.37;119.465;117.59;118.39;4179906.0
1;2020-05-21;120.99;121.72;118.97;119.12;4018329.0
2;2020-05-20;120.93;122.4659;120.6;121.38;3840563.0
3;2020-05-19;121.19;122.17;120.14;120.29;3239964.0
4;2020-05-18;119.88;122.36;119.75;121.56;4205425.0
5;2020-05-15;115.93;117.39;115.25;116.98;4785773.0
6;2020-05-14;114.57;117.09;111.81;116.95;5255607.0
7;2020-05-13;119.95;119.99;114.85;115.73;5874676.0
8;2020-05-12;123.01;124.32;120.26;120.26;4779635.0
9;2020-05-11;121.81;123.45;120.67;122.59;3533382.0
10;2020-05-08;122.67;123.23;121.06;122.99;5002450.0
11;2020-05-07;122.98;123.26;120.85;121.23;4412047.0
12;2020-05-06;123.24;124.05;122.41;123.17;3861081.0
13;2020-05-05;123.39;124.32;122.47;122.58;3897761.0
14;2020-05-04;120.82;121.97;119.391;121.68;4016551.0
15;2020-05-01;123.19;123.47;121.39;121.87;4923913.0
16;2020-04-30;126.52;127.27;125.22;125.56;6630032.0
17;2020-04-29;128.88;129.31;127.53;128.69;5252734.0
18;2020-04-28;128.03;128.2;125.38;126.27;4775867.0
19;2020-04-27;125.56;126.99;125.47;125.92;4920443.0
20;2020-04-24;122.41;125.0;120.7634;124.72;4985575.0
21;2020-04-23;119.57;121.19;119.27;120.88;1052773.0
22;2020-04-22;119.87;120.33;117.55;119.31;7085901.0
23;2020-04-21;114.0;117.145;112.06;116.76;14341304.0
24;2020-04-20;119.15;122.8635;118.14;120.41;7965530.0
25;2020-04-17;119.3;120.39;117.92;120.12;4944745.0
26;2020-04-16;119.01;119.75;114.42;115.73;6438128.0
27;2020-04-15;119.12;120.1852;116.76;118.69;5632156.0
28;2020-04-14;123.46;125.18;122.62;123.91;5087292.0
29;2020-04-13;121.63;121.8;118.04;121.15;5118777.0
30;2020-04-09;120.48;122.92;120.1672;121.5;5576210.0
31;2020-04-08;116.31;119.96;115.0742;119.29;5155987.0
