;date;1. open;2. high;3. low;4. close;5. volume
0;2020-04-16;121.63;125.18;114.42;115.43;18946589.0
1;2020-04-09;110.35;122.92;110.13;121.5;23351117.0
2;2020-04-03;108.09;113.81;104.521;106.34;28882211.0
3;2020-03-27;94.6;113.15;90.56;108.03;39907532.0
4;2020-03-20;98.0;107.41;94.71;95.39;47138046.0
5;2020-03-13;120.16;124.88;100.81;107.95;55580046.0
6;2020-03-06;130.75;136.095;124.52;127.73;35054761.0
7;2020-02-28;145.51;148.05;126.36;130.15;38480655.0
8;2020-02-21;149.79;151.89;148.84;149.84;12493166.0
9;2020-02-14;152.97;155.6;149.77;150.7;23423757.0
10;2020-02-07;144.25;158.75;143.9;153.41;43694755.0
11;2020-01-31;138.5;144.05;134.97;143.73;34661511.0
12;2020-01-24;137.81;145.79;137.6;140.56;34829367.0
13;2020-01-17;135.48;138.33;135.07;138.31;20831539.0
14;2020-01-10;133.42;137.87;133.2;136.69;17020619.0
15;2020-01-03;135.2;135.92;132.4;134.34;13418364.0
16;2019-12-27;135.78;136.15;134.61;135.27;8887084.0
17;2019-12-20;134.94;136.42;133.46;135.59;20036502.0
18;2019-12-13;133.35;135.6604;133.26;134.21;17504239.0
19;2019-12-06;134.45;134.5;130.689;133.22;17337693.0
20;2019-11-29;134.47;136.15;133.03;134.45;11502959.0
21;2019-11-22;134.3;135.38;132.75;134.34;16963107.0
22;2019-11-15;137.2;137.2;133.33;134.4;16169172.0
23;2019-11-08;136.24;139.135;136.16;137.61;17174941.0
24;2019-11-01;136.0;136.63;133.2;135.53;16136475.0
25;2019-10-25;132.61;135.93;130.9;135.44;19388201.0
26;2019-10-18;142.31;143.72;132.25;134.09;34208011.0
27;2019-10-11;142.26;144.5;138.25;142.76;14096608.0
28;2019-10-04;143.73;147.35;139.18;142.99;15911420.0
29;2019-09-27;141.19;145.09;140.558;143.24;12376163.0
30;2019-09-20;142.56;145.03;140.51;141.88;15262993.0
31;2019-09-13;140.59;145.46;140.46;143.67;17776693.0
32;2019-09-06;134.85;141.695;133.3301;140.57;12663912.0
33;2019-08-30;131.05;136.07;129.16;135.53;16211916.0
34;2019-08-23;134.88;136.33;128.83;129.57;16504912.0
35;2019-08-16;135.66;136.57;130.25;133.76;20933133.0
36;2019-08-09;144.98;145.1;135.35;136.13;28623442.0
37;2019-08-02;151.11;152.95;145.59;147.25;22876887.0
38;2019-07-26;150.16;151.94;148.38;151.36;16794485.0
39;2019-07-19;142.89;151.58;141.95;149.68;31893327.0
40;2019-07-12;141.05;142.92;139.13;142.74;13194248.0
41;2019-07-05;139.6;141.82;139.28;141.38;9862722.0
42;2019-06-28;139.2;140.15;137.84;137.9;15575818.0
43;2019-06-21;135.39;139.54;134.7;139.2;15851123.0
44;2019-06-14;134.38;136.46;133.91;135.15;13722199.0
45;2019-06-07;127.1;134.72;127.06;133.31;16193845.0
46;2019-05-31;132.13;132.64;126.85;126.99;14869322.0
47;2019-05-24;133.53;137.06;130.44;132.28;15557532.0
48;2019-05-17;133.28;136.11;130.96;134.32;16426011.0
49;2019-05-10;138.3;140.69;132.42;135.32;19509963.0
50;2019-05-03;139.15;141.81;138.68;140.25;16772230.0
51;2019-04-26;139.42;141.31;137.71;139.44;16961387.0
52;2019-04-18;144.4;145.39;136.26;140.33;27390537.0
53;2019-04-12;143.02;144.44;141.84;144.35;13675882.0
54;2019-04-05;141.51;144.22;141.51;143.28;14574262.0
55;2019-03-29;139.06;141.22;138.35;141.1;14257045.0
56;2019-03-22;139.83;142.12;138.72;139.45;17883337.0
57;2019-03-15;136.03;140.33;135.84;139.43;20959826.0
58;2019-03-08;139.99;140.08;133.58;135.09;18558647.0
59;2019-03-01;140.0;140.49;137.72;139.2;15273342.0
60;2019-02-22;137.81;139.38;137.2203;139.25;13238819.0
61;2019-02-15;134.29;138.185;133.91;138.03;17299173.0
62;2019-02-08;134.02;136.65;132.12;133.71;21874687.0
63;2019-02-01;133.1;135.4149;132.58;134.1;23585862.0
64;2019-01-25;123.3;135.0;121.54;133.97;44147478.0
65;2019-01-18;120.51;124.7175;119.7607;123.82;23616108.0
66;2019-01-11;117.5;121.86;116.67;121.46;19780844.0
67;2019-01-04;113.33;117.49;111.69;117.32;18047093.0
68;2018-12-28;109.9;114.8;105.94;113.03;21630293.0
69;2018-12-21;119.07;120.27;110.44;110.94;39485288.0
70;2018-12-14;119.74;123.81;118.52;119.9;23701178.0
71;2018-12-07;125.67;126.59;118.87;119.34;25801474.0
72;2018-11-30;118.37;124.69;118.06;124.27;27471124.0
73;2018-11-23;121.63;122.18;116.6955;117.19;18035587.0
74;2018-11-16;123.5;123.57;119.51;121.57;23510061.0
75;2018-11-09;116.1;125.06;116.0;123.54;48482997.0
76;2018-11-02;119.34;123.95;114.09;115.67;87773431.0
77;2018-10-26;129.58;131.9;123.71;124.79;36964774.0
78;2018-10-19;140.38;145.45;127.96;129.1;50928336.0
79;2018-10-12;148.5;149.07;138.78;140.85;27703434.0
80;2018-10-05;151.71;154.36;147.87;149.03;18943237.0
81;2018-09-28;151.1;153.35;148.36;151.21;22847744.0
82;2018-09-21;148.44;152.6;147.47;151.35;37327961.0
83;2018-09-14;146.6;149.3;145.25;148.33;20298346.0
84;2018-09-07;145.98;147.66;144.81;145.45;15394651.0
85;2018-08-31;146.94;147.93;145.25;146.48;15929583.0
86;2018-08-24;146.37;147.16;144.75;146.04;12992907.0
87;2018-08-17;144.15;146.39;142.0;146.06;17890077.0
88;2018-08-10;146.95;147.64;143.88;144.48;17100909.0
89;2018-08-03;144.8;147.92;142.33;147.7;24366161.0
90;2018-07-27;146.35;149.27;144.66;145.15;19940363.0
91;2018-07-20;145.67;150.54;142.7351;146.35;36572622.0
92;2018-07-13;142.59;146.9799;142.47;145.9;17395351.0
93;2018-07-06;138.28;142.94;138.2;142.48;12024030.0
94;2018-06-29;140.4;141.359;137.45;139.7;25451478.0
95;2018-06-22;144.18;144.52;140.78;141.28;21004666.0
96;2018-06-15;146.62;147.52;143.7;145.39;21311072.0
97;2018-06-08;142.3;146.7;142.18;146.14;18618365.0
98;2018-06-01;142.53;143.1;140.21;141.95;20343954.0
99;2018-05-25;144.95;146.204;142.95;143.64;16951460.0
100;2018-05-18;144.47;145.19;142.92;144.08;16304020.0
101;2018-05-11;144.0;144.85;141.28;144.14;20021856.0
102;2018-05-04;146.86;147.38;139.9;143.91;23464605.0
103;2018-04-27;145.03;147.36;144.111;146.48;25028049.0
104;2018-04-20;157.99;162.0;144.51;144.9;51127683.0
105;2018-04-13;151.8;159.22;151.7433;156.71;21372171.0
106;2018-04-06;153.34;154.92;147.45;150.57;20949699.0
107;2018-03-29;151.21;154.8697;150.28;153.43;14934365.0
108;2018-03-23;159.71;159.8899;148.541;148.89;21959274.0
109;2018-03-16;159.64;162.1122;157.74;160.26;25076217.0
110;2018-03-09;154.12;159.5825;153.75;159.31;22842811.0
111;2018-03-02;155.81;159.78;151.88;154.49;18831762.0
112;2018-02-23;155.79;156.79;152.79;155.52;14987102.0
113;2018-02-16;150.9;157.7905;149.64;156.18;25701914.0
114;2018-02-09;157.89;158.5;144.3955;149.51;38856237.0
115;2018-02-02;167.45;168.39;158.8663;159.03;21842492.0
116;2018-01-26;161.51;168.72;161.11;167.34;28170112.0
117;2018-01-19;165.1;171.13;161.3;162.37;51246304.0
118;2018-01-12;162.66;164.94;161.701;163.14;22376145.0
119;2018-01-05;154.5;162.9;153.54;162.49;26160206.0
120;2017-12-29;152.51;154.72;152.5;153.42;10573732.0
121;2017-12-22;153.41;154.18;151.49;152.5;20045931.0
122;2017-12-15;154.97;157.85;152.03;152.5;31101402.0
123;2017-12-08;155.67;156.8;153.26;154.81;20236835.0
124;2017-12-01;152.06;155.02;151.62;154.76;24386604.0
125;2017-11-24;150.64;152.45;149.9;151.84;13728716.0
126;2017-11-17;148.88;150.15;146.211;148.97;23731918.0
127;2017-11-10;151.77;151.82;149.14;149.16;21896399.0
128;2017-11-03;153.76;154.93;151.49;151.58;19467703.0
129;2017-10-27;162.05;162.51;152.911;153.68;28529638.0
130;2017-10-20;147.22;162.48;146.18;162.07;56148944.0
131;2017-10-13;146.5;148.95;146.35;147.1;16128636.0
132;2017-10-06;145.35;147.54;145.21;146.48;12252293.0
133;2017-09-29;145.12;147.42;144.21;145.08;18131168.0
134;2017-09-22;144.81;145.8911;144.22;145.13;16890140.0
135;2017-09-15;143.54;146.38;143.01;144.82;24882951.0
136;2017-09-08;143.5;144.64;141.64;142.45;13803467.0
137;2017-09-01;144.11;144.56;141.9;144.08;17765494.0
138;2017-08-25;139.59;144.19;139.13;143.74;15927109.0
139;2017-08-18;142.0;143.34;139.58;139.7;18585485.0
140;2017-08-11;145.0;145.09;141.19;141.84;18161288.0
