date;1. open;2. high;3. low;4. close;5. volume
2020-03-20;165.31;175.0;135.0;137.35;1112740029.0
2020-02-28;170.43;190.7;152.0;162.01;887894931.0
2020-01-31;158.78;174.05;156.51;170.23;555989763.0
2019-12-31;151.81;159.55;146.65;157.7;452664147.0
2019-11-29;144.26;152.5;142.965;151.38;393028043.0
2019-10-31;139.66;145.67;133.22;143.37;560654410.0
2019-09-30;136.61;142.37;134.51;139.03;477645820.0
2019-08-30;137.0;140.9383;130.78;137.86;585509525.0
2019-07-31;136.63;141.675;134.67;136.27;484553299.0
2019-06-28;123.85;138.4;119.01;133.96;508324437.0
2019-05-31;130.53;130.65;123.04;123.68;547218448.0
2019-04-30;118.95;131.37;118.1;130.6;433157868.0
2019-03-29;112.89;120.82;108.8;117.94;589045341.0
2019-02-28;103.775;113.24;102.35;112.03;469095970.0
2019-01-31;99.55;107.9;97.2;104.43;714204787.0
2018-12-31;113.0;113.42;93.96;101.57;944287635.0
2018-11-30;107.05;112.24;99.3528;110.89;720228643.0
2018-10-31;114.75;116.18;100.11;106.81;927547942.0
2018-09-28;110.85;115.29;107.23;114.37;480255674.0
2018-08-31;106.03;112.777;104.84;112.33;456630721.0
2018-07-31;98.1;111.15;98.0;106.08;569501573.0
2018-06-29;99.2798;102.69;97.26;98.61;602585341.0
2018-05-31;93.21;99.99;92.45;98.84;509418119.0
2018-04-30;90.47;97.9;87.51;93.52;668258570.0
2018-03-29;93.99;97.24;87.08;91.27;732866406.0
2018-02-28;94.79;96.07;83.83;93.77;690287596.0
2018-01-31;86.125;95.45;85.5;95.01;543377322.0
2017-12-29;83.6;87.4999;80.7;85.54;447828256.0
2017-11-30;83.68;85.06;82.24;84.17;416152260.0
2017-10-31;74.71;86.2;73.71;83.18;440510118.0
2017-09-29;74.71;75.97;72.92;74.49;367134396.0
2017-08-31;73.1;74.96;71.28;74.77;429156682.0
2017-07-31;69.33;74.42;68.02;72.7;451248934.0
2017-06-30;70.24;72.89;68.09;68.93;610120893.0
2017-05-31;68.68;70.74;67.14;69.84;505249296.0
2017-04-28;65.81;69.14;64.85;68.46;428857613.0
2017-03-31;64.13;66.19;63.62;65.86;489173200.0
2017-02-28;64.355;65.24;62.75;63.98;440744043.0
2017-01-31;62.79;65.91;61.95;64.65;494435826.0
2016-12-30;60.11;64.1;58.8;62.14;513579428.0
2016-11-30;59.97;61.41;57.28;60.26;613056964.0
2016-10-31;57.405;61.3699;56.315;59.92;614841775.0
2016-09-30;57.01;58.19;55.61;57.6;526855083.0
2016-08-31;56.6;58.7;56.14;57.46;467079004.0
2016-07-29;51.13;57.29;50.39;56.68;647587634.0
2016-06-30;52.44;52.95;48.035;51.17;823987498.0
2016-05-31;50.0;53.0;49.46;53.0;530869347.0
2016-04-29;55.05;56.77;49.35;49.87;699025640.0
2016-03-31;50.97;55.64;50.58;55.23;640372350.0
2016-02-29;54.88;55.09;48.19;50.88;814770780.0
2016-01-29;54.32;55.39;49.1;55.09;927914485.0
2015-12-31;54.41;56.85;53.68;55.48;793070000.0
2015-11-30;52.85;54.98;52.53;54.35;662622220.0
2015-10-30;44.75;54.37;43.75;52.64;857330655.0
2015-09-30;42.23;45.0;41.66;44.26;670779566.0
2015-08-31;46.98;48.41;39.72;43.52;776277394.0
2015-07-31;44.46;47.4;43.32;46.7;725458102.0
2015-06-30;47.06;47.77;43.94;44.15;664853340.0
2015-05-29;48.58;48.905;46.02;46.86;633072750.0
2015-04-30;40.6;49.54;40.12;48.64;874535095.0
2015-03-31;43.67;44.19;40.54;40.655;824335340.0
2015-02-27;40.59;44.3;40.23;43.85;656509827.0
2015-01-30;46.66;47.91;40.35;40.4;918738022.0
2014-12-31;47.88;49.06;44.9;46.45;626810606.0
2014-11-28;46.89;50.045;46.73;47.81;523008240.0
2014-10-31;46.27;46.97;42.1;46.95;853297059.0
2014-09-30;45.43;47.57;44.53;46.36;860084532.0
2014-08-29;43.21;45.47;42.21;45.43;513429400.0
2014-07-31;41.86;45.71;41.05;43.16;731616500.0
2014-06-30;40.95;42.29;39.86;41.7;555779700.0
2014-05-30;40.2401;40.97;38.51;40.94;574362900.0
2014-04-30;41.15;41.66;38.9;40.4;746113500.0
2014-03-31;37.92;41.5;37.495;40.99;778425700.0
2014-02-28;37.74;38.46;35.69;38.31;705304500.0
2014-01-31;37.35;37.89;34.63;37.84;930226200.0
2013-12-31;38.09;38.98;35.53;37.41;826617700.0
2013-11-29;35.67;38.29;35.39;38.13;800431600.0
2013-10-31;33.35;36.29;32.8;35.405;965331500.0
